"id","education","experience","major","gender","country","salary"
210,"Bachelors",13,"Others","Man","USA","$120k - $140k"
211,"Bachelors",5,"Others","Man","United Kingdom","$40k - $60k"
212,"Bachelors",1,"Others","Man","United Kingdom","$40k - $60k"
213,"Masters",1,"Others","Man","India","$20k - $40k"
214,"Masters",3,"Others","Man","France","$40k - $60k"
215,"Bachelors",0,"Others","Man","United Kingdom","$80k - $100k"
216,"Masters",1,"Others","Man","Others","$40k - $60k"
217,"Masters",2,"Physics","Man","United Kingdom","$40k - $60k"
218,"Bachelors",5,"Others","Man","India","Less than $20,000"
219,"Masters",6,"Others","Man","USA","$60k - $80k"
220,"Bachelors",2,"Economics","Man","USA","$60k - $80k"
221,"Others",12,"Others","Man","USA","$140k - $160k"
222,"Masters",2,"Others","Man","Italy","$20k - $40k"
223,"Others",1,"Others","Man","USA","$120k - $140k"
224,"PhD",7,"Others","Man","USA","$140k - $160k"
225,"Masters",3,"Others","Man","Colombia","$20k - $40k"
226,"Masters",2,"Others","Man","Italy","$20k - $40k"
227,"Masters",4,"Others","Man","France","$40k - $60k"
228,"Bachelors",6,"Others","Man","USA","$80k - $100k"
229,"Bachelors",10,"Others","Man","USA","$40k - $60k"
230,"Masters",0,"Biology","Man","USA","$60k - $80k"
231,"Bachelors",3,"Others","Man","Canada","$60k - $80k"
232,"Masters",7,"Others","Man","Netherlands","$40k - $60k"
233,"Bachelors",1,"Data Science","Man","USA","Less than $20,000"
234,"Bachelors",8,"Playwrighting","Man","USA","$160k - $180k"
235,"Bachelors",3,"Others","Man","USA","$80k - $100k"
236,"Masters",2,"Psychology; Sculpture","Man","USA","$80k - $100k"
237,"Bachelors",6,"Art","Man","USA","$120k - $140k"
238,"Bachelors",2,"Others","Man","Others","$20k - $40k"
239,"Bachelors",2,"Others","Man","USA","$40k - $60k"
240,"Masters",8,"Others","Man","Others","$40k - $60k"
241,"Bachelors",7,"Others","Man","USA","$140k - $160k"
242,"Masters",12,"Others","Man","USA","$160k - $180k"
243,"Bachelors",4,"Others","Man","USA","$60k - $80k"
244,"Masters",0,"Others","Man","Others","$100k - $120k"
245,"Masters",20,"Others","Man","Others","$20k - $40k"
246,"Masters",2,"Others","Man","Brazil","$40k - $60k"
247,"Masters",7,"Others","Man","Italy","$40k - $60k"
248,"Masters",1,"Others","Man","Others","$20k - $40k"
249,"Others",10,"Others","Man","Others","$80k - $100k"
250,"Masters",0,"Physics","Man","Germany","$40k - $60k"
251,"Masters",6,"Others","Man","USA","$120k - $140k"
252,"Bachelors",2,"Others","Man","United Kingdom","$60k - $80k"
253,"Masters",2.5,"Engineering","Man","India","$20k - $40k"
254,"PhD",20,"Others","Man","USA","$180k - $200k"
255,"PhD",10,"Others","Man","USA","$80k - $100k"
256,"Masters",8,"Others","Man","USA","$100k - $120k"
257,"Others",5,"Others","Man","USA","$140k - $160k"
258,"Others",5,"Others","Man","USA","$200k+"
259,"Masters",15,"Others","Man","USA","$120k - $140k"
260,"Masters",5,"Economics","Man","USA","$100k - $120k"
261,"PhD",15,"Others","Man","USA","$100k - $120k"
262,"Bachelors",3,"Others","Man","USA","$200k+"
263,"PhD",2,"Others","Man","USA","$100k - $120k"
264,"Masters",5,"Biology","Man","USA","$180k - $200k"
265,"Bachelors",8,"Others","Man","Canada","$120k - $140k"
266,"PhD",15,"Others","Man","USA","$120k - $140k"
267,"Bachelors",5,"Others","Man","USA","$120k - $140k"
268,"Bachelors",1,"Others","Man","USA","Less than $20,000"
269,"PhD",25,"Biology","Man","USA","$140k - $160k"
270,"Masters",2,"Economics","Man","United Kingdom","$40k - $60k"
271,"Masters",1,"Others","Man","Canada","$40k - $60k"
272,"Bachelors",3,"Others","Man","USA","$180k - $200k"
273,"Masters",1,"Others","Man","Others","$20k - $40k"
274,"Bachelors",30,"Others","Man","USA","$200k+"
275,"Others",2,"Others","Man","USA","$80k - $100k"
276,"Bachelors",0.5,"Data Science","Man","USA","$20k - $40k"
277,"Bachelors",5,"Others","Man","Netherlands","$80k - $100k"
278,"Masters",4,"Others","Man","Others","$100k - $120k"
279,"Others",8,"Others","Man","USA","$40k - $60k"
280,"Masters",25,"Biology","Man","USA","$60k - $80k"
281,"Bachelors",6,"Others","Man","Others","$40k - $60k"
282,"Bachelors",2,"Others","Man","Australia","$60k - $80k"
283,"Bachelors",10,"Others","Man","USA","$80k - $100k"
284,"Bachelors",14,"Business","Man","USA","$80k - $100k"
285,"Bachelors",2,"Others","Man","Others","Less than $20,000"
286,"Masters",2,"Others","Man","USA","$80k - $100k"
287,"Bachelors",8,"Economics","Man","Australia","$200k+"
288,"Masters",20,"Others","Man","Others","Others"
289,"Masters",4,"Others","Man","USA","$60k - $80k"
290,"Bachelors",0,"Economics","Man","USA","$80k - $100k"
291,"Masters",2,"Others","Man","Others","$60k - $80k"
292,"Bachelors",5,"Others","Man","Italy","$20k - $40k"
293,"Masters",2,"Others","Man","Netherlands","$80k - $100k"
294,"Bachelors",2,"Others","Man","USA","$60k - $80k"
295,"Others",5,"Others","Man","USA","$140k - $160k"
296,"Bachelors",3,"Music","Man","USA","$60k - $80k"
297,"Masters",6,"Others","Man","USA","$60k - $80k"
298,"PhD",5,"Others","Man","USA","$60k - $80k"
299,"Masters",10,"Others","Man","USA","$100k - $120k"
300,"PhD",2,"Others","Man","Canada","$20k - $40k"
301,"Bachelors",2,"Others","Man","USA","$20k - $40k"
302,"Masters",2,"Others","Man","USA","$20k - $40k"
303,"Bachelors",3,"Others","Man","USA","$20k - $40k"
304,"Masters",5,"Physics","Man","USA","$20k - $40k"
