"id","What technologies do you use to visualize data? Select all that apply._01","What technologies do you use to visualize data? Select all that apply._02","What technologies do you use to visualize data? Select all that apply._03","What technologies do you use to visualize data? Select all that apply._04","What technologies do you use to visualize data? Select all that apply._05","What technologies do you use to visualize data? Select all that apply._06","What technologies do you use to visualize data? Select all that apply._07","What technologies do you use to visualize data? Select all that apply._08","What technologies do you use to visualize data? Select all that apply._09","What technologies do you use to visualize data? Select all that apply._10","What technologies do you use to visualize data? Select all that apply._11","What technologies do you use to visualize data? Select all that apply._12","What technologies do you use to visualize data? Select all that apply._13","What technologies do you use to visualize data? Select all that apply._14","What technologies do you use to visualize data? Select all that apply._15","What technologies do you use to visualize data? Select all that apply._16","What technologies do you use to visualize data? Select all that apply._17","What technologies do you use to visualize data? Select all that apply._18","What technologies do you use to visualize data? Select all that apply._19","What technologies do you use to visualize data? Select all that apply._20"
110,"D3","Python","WebGL","P5/Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,"D3","ggplot2","Leaflet","QGIS","R","Tableau","Pen & Paper","Canvas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"Excel","ggplot2","Leaflet","Plotly","Python","R","Tableau","Pen & Paper","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,"D3","ggplot2","Python","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,"Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,"ggplot2","R","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"Python","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,"Python","R","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,"Excel","ggplot2","R","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,"D3","Excel","Plotly","Python","R","Vega","Matplotlib","Looker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,"Excel","ggplot2","R","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,"D3","Excel","Highcharts","Illustrator","Leaflet","Mapbox","React","Tableau","Vue","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,"Illustrator","Python","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,"D3","Excel","Illustrator","Java","QGIS","Tableau","Web Components","Pen & Paper","Canvas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"Illustrator","Java","Processing","WebGL","Pen & Paper","Canvas","P5/Processing","Unity3D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,"D3","Excel","Illustrator","Plotly","Python","Vue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,"Excel","ggplot2","R","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,"Excel","Power BI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,"Power BI","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,"D3","Excel","Gephi","React","Semiotic","Tableau","Web Components","WebGL","Pen & Paper","Other physical materials","Canvas",NA,NA,NA,NA,NA,NA,NA,NA,NA
130,"Power BI","Tableau","Alteryx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,"ArcGIS","Excel","ggplot2","Illustrator","Plotly","QGIS","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"ArcGIS","ggplot2","Plotly","Power BI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,"D3","Excel","ggplot2","R","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,"D3","Excel","Python","Tableau","WebGL","Pen & Paper","Canvas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,"D3","Gephi","Leaflet","Processing","Python","QGIS","P5/Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,"D3","ggplot2","Illustrator","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,"D3","ggplot2","Power BI","R","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,"Excel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,"Excel","ggplot2","Plotly","Power BI","Python","R","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"Excel","ggplot2","Plotly","Power BI","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,"Excel","ggplot2","Plotly","Python","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,"Excel","ggplot2","Power BI","R","Tableau","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,"Excel","Power BI","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,"Excel","Python","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,"Excel","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,"Power BI","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,"Qlik","ThoughtSpot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"D3","Excel","ggplot2","Illustrator","Plotly","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,"Excel","Power BI","Python","Pen & Paper","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,"Excel","Power BI","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
